panel,cancer,model,n_slides,TLS_R2,TLS_spearman,TLS_pearson,TLS_ICC,TLS_MAE,GC_R2,GC_spearman,GC_pearson,GC_ICC,GC_MAE,cls3_F1_macro,cls3_F1_weighted,cls4_F1_macro,cls4_F1_weighted
B,ALL,Cascade v3.7,76,0.8600572483714417,0.9137591858173342,0.9338733403083018,0.9178577589330645,2.223684210526316,0.8258836730877127,0.9239041855668589,0.9149921292697644,0.8972516565549249,0.19736842105263158,0.7989851678376269,0.8069610501663996,0.7036204642039882,0.7688077459093959
B,ALL,Cascade v3.11,76,0.8637090629526156,0.8997632511852842,0.9315166955823788,0.9239807602214961,2.3026315789473686,0.8081167009538059,0.8926275318442729,0.907324979792705,0.8851878100637844,0.23684210526315788,0.7419272355347749,0.7421079547202313,0.6640576061382608,0.719857617338315
B,ALL,GNCAF v3.62,76,-7.364611720128224,0.6828170068440143,0.394370728447883,0.06863263333503737,17.460526315789473,-0.16906676641107166,0.18370354596234525,0.07106025964782034,-0.06546051211192189,0.8026315789473685,0.30855619507955184,0.28101751819686593,0.24537029842071073,0.25290574077760924
B,ALL,GNCAF v3.65,76,-12.67017661877664,0.7710854545106786,0.44493776281346464,0.03974671997060533,22.355263157894736,0.399476341873948,0.8495185741659299,0.69175150432872,0.5354249899204633,0.5131578947368421,0.44740753110127746,0.4778384447383801,0.34698421975452953,0.4778384447383801
B,ALL,seg_v2.0 (dual),76,0.5231773532581463,0.8601286651263762,0.920858616037877,0.837493391872062,4.447368421052632,0.6126800074808304,0.8893625128127934,0.8127578174602045,0.8141580849757895,0.4605263157894737,0.5672184025125202,0.5570450189645236,0.48089340999557717,0.5192951418794665
B,ALL,HookNet-TLS,76,0.19947007502694258,0.7424390852411897,0.544115262603455,0.5403638149953124,4.7105263157894735,-1.4589489433327096,0.22658674579568522,0.011761447892034243,0.01266978655404648,1.105263157894737,0.7298551478879348,0.7558256981250943,0.5585049335049335,0.6389650929124614
B,BLCA,Cascade v3.7,52,0.8361193994080358,0.9124606055083773,0.9225461495291403,0.9025416339698318,3.076923076923077,0.81064209274673,0.923212304526841,0.9073053280907193,0.8881729091153175,0.28846153846153844,0.7869252705183797,0.7883071604359545,0.6902833597206999,0.7193180505200966
B,BLCA,Cascade v3.11,52,0.8417274807971145,0.906526254496218,0.9201088386631162,0.9102302454912423,3.1538461538461537,0.7913198573127229,0.8903526871446463,0.8991270690388508,0.8754240738227711,0.34615384615384615,0.7220093656875267,0.72669220945083,0.6479885057471264,0.6800397877984085
B,BLCA,GNCAF v3.62,52,-8.126840900648284,0.636824491267982,0.30613590785111516,-0.015987242304409798,21.26923076923077,-0.2559453032104637,0.16239751558685755,0.053114072152786594,-0.09877361617500824,1.1346153846153846,0.30652557319223983,0.27275132275132274,0.2618233618233618,0.24505807582730657
B,BLCA,GNCAF v3.65,52,-14.763537884507075,0.6420189242644939,0.3268040459299291,-0.1045406797856986,30.173076923076923,0.34690844233055884,0.832826849912113,0.6681518085442417,0.4995645357951576,0.75,0.42672759339426003,0.33790283790283787,0.325998075998076,0.33698708698708696
B,BLCA,seg_v2.0 (dual),52,0.45243316437190684,0.8816226059020162,0.9094536586524703,0.8144473633546353,5.788461538461538,0.5826397146254458,0.8808960428989673,0.7981704790685956,0.8002610966057441,0.6538461538461539,0.6,0.5928571428571427,0.5341649159663866,0.5303470426632191
B,BLCA,HookNet-TLS,52,0.07528969095636961,0.6585913452403688,0.477621697407049,0.4735374010065421,6.423076923076923,-1.6394173602853743,0.21959731039020536,-0.01670655097048924,-0.015480146930208164,1.5192307692307692,0.7010198604401503,0.7109500805152978,0.5185208866155158,0.5314168142173258
B,KIRC,Cascade v3.7,24,0.5563380281690141,0.5492350363810897,0.8003548065370136,0.7893589184474487,0.375,1.0,1.0,0.9999999999999999,1.0,0.0,0.4666666666666666,0.8666666666666667,0.5583333333333333,0.8805555555555555
B,KIRC,Cascade v3.11,24,0.38732394366197187,0.47500000000000003,0.7936297274170323,0.7545086492454913,0.4583333333333333,1.0,1.0,0.9999999999999999,1.0,0.0,0.4140350877192982,0.8052631578947369,0.4486215538847117,0.8116123642439432
B,KIRC,GNCAF v3.62,24,-116.19014084507042,0.2054646888922689,-0.023109908227732588,-0.20945907513793305,9.208333333333334,-0.043478260869564966,,,8.326672684688673e-17,0.08333333333333333,0.1809954751131222,0.301659125188537,0.11858974358974358,0.2889957264957265
B,KIRC,GNCAF v3.65,24,-75.56338028169014,0.3972348553651198,0.10963729569613667,-0.05935283800615137,5.416666666666667,1.0,1.0,0.9999999999999999,1.0,0.0,0.3655083655083655,0.7670527670527671,0.32770270270270274,0.7640765765765766
B,KIRC,seg_v2.0 (dual),24,-1.9788732394366195,0.48356032010974276,0.47621199172523615,0.2570446735395189,1.5416666666666667,0.7391304347826088,1.0,0.9999999999999999,0.7999999999999999,0.041666666666666664,0.2719797596457938,0.551865907653384,0.228494623655914,0.546146953405018
B,KIRC,HookNet-TLS,24,-3.267605633802817,0.5048934750540198,0.503194416686367,0.3380823479128081,1.0,-1.3478260869565215,-0.06281001030561872,-0.059373936999575924,-0.04020100502512557,0.20833333333333334,0.4904761904761905,0.8726190476190476,0.5166666666666666,0.8736111111111112
